ID,Category,Law Name,Section/Act Reference,Full Act Name,Year Enacted/Amended,Current Status,Key Provisions Summary,Who It Applies To,Enforcement Authority,Importance Level
1,Constitutional Law,Right to Equality,Article 14,Constitution of India,1950,Active,Equality before law; no discrimination by state,All Citizens,Supreme Court / High Court,High
2,Constitutional Law,Right to Freedom of Speech,Article 19(1)(a),Constitution of India,1950,Active,Freedom of speech and expression with reasonable restrictions,All Citizens,Supreme Court / High Court,High
3,Constitutional Law,Right to Life,Article 21,Constitution of India,1950,Active,No person shall be deprived of life or personal liberty except by procedure established by law,All Citizens,Supreme Court / High Court,High
4,Constitutional Law,Right Against Exploitation,Article 23-24,Constitution of India,1950,Active,Prohibition of trafficking and forced labour,All Citizens,Supreme Court / High Court,High
5,Constitutional Law,Right to Education,Article 21A,86th Constitutional Amendment,2002,Active,Free and compulsory education for children aged 6-14,Children 6-14 yrs,Supreme Court / High Court,High
6,Criminal Law,Bharatiya Nyaya Sanhita (BNS),BNS 2023,Bharatiya Nyaya Sanhita,2023,Active (from Jul 2024),"Replaced IPC; covers murder, theft, fraud, rape, terrorism etc.",All Persons,Criminal Courts,High
7,Criminal Law,Murder,Section 101 BNS,Bharatiya Nyaya Sanhita,2023,Active,Punishment for murder - death or life imprisonment,All Persons,Sessions Court,High
8,Criminal Law,Culpable Homicide,Section 100 BNS,Bharatiya Nyaya Sanhita,2023,Active,Culpable homicide not amounting to murder,All Persons,Sessions Court,High
9,Criminal Law,Rape,Section 63-70 BNS,Bharatiya Nyaya Sanhita,2023,Active,Sexual assault and rape; punishment up to life imprisonment,All Persons,Sessions Court / Fast Track Court,High
10,Criminal Law,Sexual Harassment at Workplace,POSH Act,Sexual Harassment of Women at Workplace Act,2013,Active,Mandatory ICC in organizations; complaint mechanism,Women Employees,Internal Complaints Committee,High
11,Criminal Law,Theft,Section 303 BNS,Bharatiya Nyaya Sanhita,2023,Active,Dishonest taking of movable property,All Persons,Magistrate Court,Medium
12,Criminal Law,Cheating,Section 318 BNS,Bharatiya Nyaya Sanhita,2023,Active,Deceiving a person to deliver property or cause damage,All Persons,Magistrate Court,High
13,Criminal Law,Defamation,Section 356 BNS,Bharatiya Nyaya Sanhita,2023,Active,Making or publishing imputations to harm reputation,All Persons,Magistrate Court,Medium
14,Criminal Law,Organized Crime,Section 111 BNS,Bharatiya Nyaya Sanhita,2023,Active,New provision for organized crime syndicates,All Persons,Sessions Court,High
15,Criminal Law,Terrorism,Section 113 BNS,Bharatiya Nyaya Sanhita,2023,Active,"Acts threatening unity, integrity and security of India",All Persons,NIA / Special Court,High
16,Criminal Law,Sedition (Amended),Section 152 BNS,Bharatiya Nyaya Sanhita,2023,Active,Acts endangering sovereignty; replaced old sedition law,All Persons,Sessions Court,High
17,Criminal Law,Corruption,Section 7 PC Act,Prevention of Corruption Act,1988,Active (Amended 2018),Bribery of public servants; mandatory minimum imprisonment,Public Servants,Special CBI Court,High
18,Criminal Law,NDPS Act,NDPS 1985,Narcotic Drugs and Psychotropic Substances Act,1985,Active (Amended 2021),Drug trafficking offences; death penalty for repeat offenders,All Persons,Special NDPS Court,High
19,Criminal Law,Unlawful Activities,UAPA 1967,Unlawful Activities Prevention Act,1967,Active (Amended 2019),Banning of organizations; terrorism financing,All Persons,NIA / Special Court,High
20,Procedural Law,Bharatiya Nagarik Suraksha Sanhita,BNSS 2023,Bharatiya Nagarik Suraksha Sanhita,2023,Active (from Jul 2024),"Replaced CrPC; criminal procedure, trial, bail, FIR",All Persons,All Criminal Courts,High
21,Procedural Law,Zero FIR,Section 173 BNSS,Bharatiya Nagarik Suraksha Sanhita,2023,Active,FIR can be filed at any police station regardless of jurisdiction,Complainants,Any Police Station,High
22,Procedural Law,Bail Provisions,Section 478-498 BNSS,Bharatiya Nagarik Suraksha Sanhita,2023,Active,"Regular bail, anticipatory bail, default bail rules",Accused,Magistrate / Sessions Court,High
23,Procedural Law,Trial by Video Conferencing,Section 530 BNSS,Bharatiya Nagarik Suraksha Sanhita,2023,Active,Court proceedings through electronic means,All Parties,All Courts,Medium
